talla;la;ma;sa;lo;mo;so
53.8;-0.3833;4.2359;0.09100;-0.3521;4.2153;0.08663
53.9;-0.3833;4.2617;0.09101;-0.3521;4.2422;0.08657
54.0;-0.3833;4.2875;0.09102;-0.3521;4.2693;0.08651
54.1;-0.3833;4.3135;0.09103;-0.3521;4.2965;0.08645
54.2;-0.3833;4.3395;0.09104;-0.3521;4.3239;0.08639
54.3;-0.3833;4.3655;0.09105;-0.3521;4.3513;0.08633
54.4;-0.3833;4.3917;0.09105;-0.3521;4.3789;0.08627
54.5;-0.3833;4.4179;0.09106;-0.3521;4.4066;0.08621
54.6;-0.3833;4.4442;0.09107;-0.3521;4.4344;0.08615
54.7;-0.3833;4.4705;0.09108;-0.3521;4.4623;0.08610
54.8;-0.3833;4.4969;0.09109;-0.3521;4.4903;0.08604
54.9;-0.3833;4.5233;0.09109;-0.3521;4.5185;0.08598
55.0;-0.3833;4.5498;0.09110;-0.3521;4.5467;0.08592
55.1;-0.3833;4.5763;0.09111;-0.3521;4.5750;0.08586
55.2;-0.3833;4.6029;0.09112;-0.3521;4.6034;0.08580
55.3;-0.3833;4.6295;0.09113;-0.3521;4.6319;0.08575
55.4;-0.3833;4.6561;0.09113;-0.3521;4.6605;0.08569
55.5;-0.3833;4.6827;0.09114;-0.3521;4.6892;0.08563
55.6;-0.3833;4.7094;0.09115;-0.3521;4.7180;0.08558
55.7;-0.3833;4.7361;0.09116;-0.3521;4.7469;0.08552
55.8;-0.3833;4.7628;0.09116;-0.3521;4.7758;0.08546
55.9;-0.3833;4.7895;0.09117;-0.3521;4.8048;0.08541
56.0;-0.3833;4.8162;0.09118;-0.3521;4.8338;0.08535
56.1;-0.3833;4.8430;0.09119;-0.3521;4.8629;0.08529
56.2;-0.3833;4.8697;0.09119;-0.3521;4.8920;0.08524
56.3;-0.3833;4.8964;0.09120;-0.3521;4.9212;0.08518
56.4;-0.3833;4.9232;0.09121;-0.3521;4.9504;0.08513
56.5;-0.3833;4.9500;0.09121;-0.3521;4.9796;0.08507
56.6;-0.3833;4.9767;0.09122;-0.3521;5.0088;0.08502
56.7;-0.3833;5.0034;0.09123;-0.3521;5.0381;0.08497
56.8;-0.3833;5.0302;0.09123;-0.3521;5.0673;0.08491
56.9;-0.3833;5.0569;0.09124;-0.3521;5.0966;0.08486
57.0;-0.3833;5.0837;0.09125;-0.3521;5.1259;0.08481
57.1;-0.3833;5.1104;0.09125;-0.3521;5.1551;0.08475
57.2;-0.3833;5.1371;0.09126;-0.3521;5.1844;0.08470
57.3;-0.3833;5.1639;0.09126;-0.3521;5.2137;0.08465
57.4;-0.3833;5.1906;0.09127;-0.3521;5.2429;0.08460
57.5;-0.3833;5.2173;0.09128;-0.3521;5.2721;0.08455
57.6;-0.3833;5.2440;0.09128;-0.3521;5.3014;0.08449
57.7;-0.3833;5.2707;0.09129;-0.3521;5.3306;0.08444
57.8;-0.3833;5.2974;0.09129;-0.3521;5.3598;0.08439
57.9;-0.3833;5.3240;0.09130;-0.3521;5.3889;0.08434
58.0;-0.3833;5.3507;0.09130;-0.3521;5.4180;0.08430
58.1;-0.3833;5.3773;0.09131;-0.3521;5.4471;0.08425
58.2;-0.3833;5.4039;0.09131;-0.3521;5.4762;0.08420
58.3;-0.3833;5.4304;0.09131;-0.3521;5.5053;0.08415
58.4;-0.3833;5.4569;0.09132;-0.3521;5.5343;0.08410
58.5;-0.3833;5.4834;0.09132;-0.3521;5.5632;0.08406
58.6;-0.3833;5.5098;0.09133;-0.3521;5.5922;0.08401
58.7;-0.3833;5.5362;0.09133;-0.3521;5.6210;0.08397
58.8;-0.3833;5.5625;0.09133;-0.3521;5.6499;0.08392
58.9;-0.3833;5.5888;0.09134;-0.3521;5.6787;0.08388
59.0;-0.3833;5.6151;0.09134;-0.3521;5.7074;0.08383
59.1;-0.3833;5.6413;0.09134;-0.3521;5.7361;0.08379
59.2;-0.3833;5.6674;0.09135;-0.3521;5.7647;0.08375
59.3;-0.3833;5.6935;0.09135;-0.3521;5.7933;0.08370
59.4;-0.3833;5.7195;0.09135;-0.3521;5.8217;0.08366
59.5;-0.3833;5.7454;0.09135;-0.3521;5.8501;0.08362
59.6;-0.3833;5.7713;0.09136;-0.3521;5.8784;0.08358
59.7;-0.3833;5.7971;0.09136;-0.3521;5.9067;0.08354
59.8;-0.3833;5.8229;0.09136;-0.3521;5.9348;0.08350
59.9;-0.3833;5.8485;0.09136;-0.3521;5.9628;0.08346
60.0;-0.3833;5.8742;0.09136;-0.3521;5.9907;0.08342
60.1;-0.3833;5.8997;0.09136;-0.3521;6.0185;0.08339
60.2;-0.3833;5.9252;0.09137;-0.3521;6.0461;0.08335
60.3;-0.3833;5.9507;0.09137;-0.3521;6.0737;0.08331
60.4;-0.3833;5.9761;0.09137;-0.3521;6.1011;0.08328
60.5;-0.3833;6.0014;0.09137;-0.3521;6.1284;0.08324
60.6;-0.3833;6.0266;0.09137;-0.3521;6.1556;0.08321
60.7;-0.3833;6.0518;0.09137;-0.3521;6.1827;0.08317
60.8;-0.3833;6.0769;0.09137;-0.3521;6.2096;0.08314
60.9;-0.3833;6.1020;0.09137;-0.3521;6.2365;0.08311
61.0;-0.3833;6.1270;0.09137;-0.3521;6.2632;0.08308
61.1;-0.3833;6.1519;0.09137;-0.3521;6.2899;0.08304
